Name;Code;Assortment;Color;Article;Description;tech;cylinder sizes;Brands;Completeness;Product group;Nomenclature group;Designation;Country;Mounting type;Type of mechanism;Cylinder type;B2B website page;Price;Currency;Unit
Mottura Art. 94KIT WES CR Комплект хром;18334;Заказной;Хром полированный;94KIT WES CR;"<p style=""text-align: justify;""><strong>Броненакладка накладна Mottura 94KIT WES</strong> призначена для захисту циліндра замка вхідних дверей від зовнішнього механічного впливу. Броненакладка має дві складові деталі, перша встановлюється на зовнішній лист металевої вхідних дверей, відповідна її частина накладається на внутрішню оздоблювальну панель і через все полотно дверей стягується двома розжареними гвинтами. Корпус броненакладки виконаний із загартованої сталі, а спеціальна скошена форма ускладнює сбитие її за двері. Монтаж простий і не вимагає особливих навичок. <br /><br /><strong>Броненакладка накладна Mottura 94KIT WES</strong> представлена інтернет магазином <strong>Будинок Маркет</strong> – це сучасна дверна фурнітура для дому.</p>";;;Mottura;Комплект броненакладок;аксессуары для входных дверей;Замки Mottura;Комплект (замок +);Италия;Врезной;;;https://b2b.polyserv.com.ua/catalog/9754;30,500;EUR;шт
Mottura Art. 94KIT WES CS Комплект мат хром;18335;Заказной;Хром матовый;94KIT WES CS;"<p style=""text-align: justify;""><strong>Броненакладка накладна Mottura 94KIT WES</strong> призначена для захисту циліндра замка вхідних дверей від зовнішнього механічного впливу. Броненакладка має дві складові деталі, перша встановлюється на зовнішній лист металевої вхідних дверей, відповідна її частина накладається на внутрішню оздоблювальну панель і через все полотно дверей стягується двома розжареними гвинтами. Корпус броненакладки виконаний із загартованої сталі, а спеціальна скошена форма ускладнює сбитие її за двері. Монтаж простий і не вимагає особливих навичок. <br /><br /><strong>Броненакладка накладна Mottura 94KIT WES</strong> представлена інтернет магазином <strong>Будинок Маркет</strong> – це сучасна дверна фурнітура для дому.</p>";;;Mottura;Комплект броненакладок;аксессуары для входных дверей;Замки Mottura;Комплект (замок +);Италия;Врезной;;;https://b2b.polyserv.com.ua/catalog/9752;39,600;EUR;шт
Mottura Art. 94KIT WES OT Комплект латунь;18336;Заказной;Латунь полированная;94KIT WES OT;"<p style=""text-align: justify;""><strong>Броненакладка накладна Mottura 94KIT WES</strong> призначена для захисту циліндра замка вхідних дверей від зовнішнього механічного впливу. Броненакладка має дві складові деталі, перша встановлюється на зовнішній лист металевої вхідних дверей, відповідна її частина накладається на внутрішню оздоблювальну панель і через все полотно дверей стягується двома розжареними гвинтами. Корпус броненакладки виконаний із загартованої сталі, а спеціальна скошена форма ускладнює сбитие її за двері. Монтаж простий і не вимагає особливих навичок. <br /><br /><strong>Броненакладка накладна Mottura 94KIT WES</strong> представлена інтернет магазином <strong>Будинок Маркет</strong> – це сучасна дверна фурнітура для дому.</p>";;;Mottura;Комплект броненакладок;аксессуары для входных дверей;Замки Mottura;Комплект (замок +);Италия;Врезной;;;https://b2b.polyserv.com.ua/catalog/9753;28,400;EUR;шт
Mottura Art. 94KIT1101/CR Защитный комплект для двойного цилиндра хром;18415;в наличии;Хром полированный;94KIT1101 CR;;;;Mottura;;аксессуары для входных дверей;Замки Mottura;Комплект (замок кл +);Италия;;;;https://b2b.polyserv.com.ua/catalog/3252;48,650;EUR;шт
Mottura Art. 94KIT1101/P Защитный комплект для двойного цилиндра зол;5650;в наличии;Золото;94KIT1101/P;"<p>Комплект захисту циліндра з поворотною ручкою. Складається із:</p> <ul> <li>1 арт. 94.11625 (зовнішня захисна накладка для циліндра. 30 мм);</li> <li>1 арт. 94.501 (внутрішня розетка кріплення, довжина 41 мм);</li> <li>1 арт. 95.303 (запобіжна накладка гвинтів);</li> <li>1 арт. 95.308 (бочкоподібна захисна накладка);</li> <li>1 арт. 99.293/90 (пара кріпильних гвинтів завдовжки 90 мм);</li> </ul>";;;Mottura;;аксессуары для входных дверей;Замки Mottura;Комплект (замок кл +);Италия;;;;https://b2b.polyserv.com.ua/catalog/290;54,350;EUR;шт
Mottura Art. 94KIT1102/P Защитный комплект для двойного цилиндра зол;5651;в наличии;Золото;94KIT1102/P;;;;Mottura;;аксессуары для входных дверей;Замки Mottura;Комплект (замок кл +);Италия;;;;https://b2b.polyserv.com.ua/catalog/291;62,000;EUR;шт
Mottura Art. 94KIT1103/P Защитный комплект для цилиндра с повороткой зол;5652;в наличии;Золото;94KIT1103/P;"<p>Комплект захисту циліндра з поворотною ручкою. </p> <p>Складається з:</p> <ul> <li> 1 арт. 94.11625 (зовнішня захисна накладка для циліндра. 30 мм);</li> <li> 1 арт. 94.501 (внутрішня розетка кріплення, довжина 41 мм);</li> <li> 1 арт. 95.303 (запобіжна накладка гвинтів); 1 арт. 95.308 (бочкоподібна захисна накладка);</li> <li> 1 арт. 99.293/90 (пара кріпильних гвинтів завдовжки 90 мм);</li> </ul>";;;Mottura;;аксессуары для входных дверей;Замки Mottura;Комплект (замок кл +);Италия;;;;https://b2b.polyserv.com.ua/catalog/292;54,350;EUR;шт
Mottura Art. 94KIT1104/P Защитный комплект для цилиндра с повороткой зол;5653;в наличии;Золото;94KIT1104/P;;;;Mottura;;аксессуары для входных дверей;Замки Mottura;Комплект (замок кл +);Италия;;;;https://b2b.polyserv.com.ua/catalog/293;62,000;EUR;шт
Mottura Art. 94030 Марганцевая пластина 134х206х2mm DX (для замка 52.771);16054;в наличии;Оцинкованный;94030000D;<p> Бронепластина - це захисний загартований лист сталі товщиною 1,5 - 3мм., встановлюється між замком і зовнішнім листом металу. Дана арганцева пластина має розміри 134х206х2 і захищає сувальдну частину замку від висвердлювання. Підходить для замку Mottura 52.771. </p>;;;Mottura;Марганцевая пластина;аксессуары для входных дверей;Замки Mottura;Пластина;Италия;Врезной;;;https://b2b.polyserv.com.ua/catalog/250;15,200;EUR;шт
Mottura Art. 94030 Марганцевая пластина 134х206х2mm SX (для замка 52.771);16063;в наличии;Оцинкованный;94030000S;<p>Марганцева пластина для замку 52.771.</p> <p><span>Сталева захисна пластина товщиною 4мм на весь корпус замку на основі марганцевих сплавів для замків Mottura. М</span><span>арганцева пластина запобігає доступу до внутрішнього механізму замку і завдяки своїм властивостям не свердлиться звичайними свердлами.</span></p> <p>Розміри пластини: 134х206х2mm. </p>;;;Mottura;Марганцевая пластина;аксессуары для входных дверей;Замки Mottura;Пластина;Италия;Врезной;;;https://b2b.polyserv.com.ua/catalog/251;15,200;EUR;шт
Mottura Art. 94036 Марганцевая пластина 60х60х2mm (для замка 52.771);16055;в наличии;Нержавеющая сталь;940360000;<p>Марганцева пластина для замку 52.771.</p> <p><span>Пластина з високо марганцевої сталі 2мм забезпечує захист від висвердлювання д</span><span>ля сувальдних замків</span>. <span>Монтується між корпусом замка та зовнішнім листом металу дверей, за допомогою кріплення або зварювання.</span></p> <p>Розміри пластини: 139х276х2mm. </p>;;;Mottura;Марганцевая пластина;аксессуары для входных дверей;Замки Mottura;Пластина;Италия;Врезной;;;https://b2b.polyserv.com.ua/catalog/252;6,950;EUR;шт
Mottura Art. 94055 Марганцевая пластина 139х276х2mm DX;62167;в наличии;Оцинкованный;94055DC1;;;;Mottura;Марганцевая пластина;аксессуары для входных дверей;Замки Mottura;Пластина;Италия;Врезной;;;;15,950;EUR;шт
Mottura Art. 94055 Марганцевая пластина 139х276х2mm DX (для замка 54.797,54.587);16052;в наличии;Оцинкованный;94055DC1;<p>Марганцева пластина для замку 54.797,54.587.</p> <p><span>Сталева захисна пластина завтовшки 4мм на весь корпус замку на основі марганцевих сплавів для замків Mottura. М</span><span>арганцева пластина запобігає доступу до внутрішнього механізму замку і завдяки своїм властивостям не свердлиться звичайними свердлами.</span></p> <p>Розміри пластини: 139х276х2mm. </p>;;;Mottura;Марганцевая пластина;аксессуары для входных дверей;Замки Mottura;Пластина;Италия;Врезной;;;https://b2b.polyserv.com.ua/catalog/253;17,150;EUR;шт
Mottura Art. 94055 Марганцевая пластина 139х276х2mm SX;62168;в наличии;Оцинкованный;94055SC1;;;;Mottura;Марганцевая пластина;аксессуары для входных дверей;Замки Mottura;Пластина;Италия;Врезной;;;;15,950;EUR;шт
Mottura Art. 94055 Марганцевая пластина 139х276х2mm SX (для замка 54.797,54.587);16053;в наличии;Оцинкованный;94055SC1;<p>Mottura Art. 94055 </p> <p>Марганцева пластина для замку 54.797,54.587.</p> <p><span>Сталева захисна пластина товщиною 4мм на весь корпус замку на основі марганцевих сплавів для замків Mottura. М</span><span>арганцевая пластина запобігає доступ до внутрішнього механізму замку і завдяки своїм властивостям не свердлиться звичайними свердлами.</span></p> <p>Розміри пластини:139х276х2мм. </p>;;;Mottura;Марганцевая пластина;аксессуары для входных дверей;Замки Mottura;Пластина;Италия;Врезной;;;https://b2b.polyserv.com.ua/catalog/254;17,150;EUR;шт
Mottura Art. 942540028 Ответная планка к замку 52.770/771, 85971;400;в наличии;Хром матовый;942540028;<p>Mottura Art. 942540028 </p> <p>Відповідна планка до замків Mottura 52.770/771</p>;;;Mottura;Ответ.планка;аксессуары для входных дверей;Замки Mottura;Ответная планка металл;Италия;Врезной;;;https://b2b.polyserv.com.ua/catalog/283;6,100;EUR;шт
Mottura Art. 942750028 Ответная планка к замку 54.787/789/795;2378;в наличии;Хром матовый;942750028;<p>Mottura Art. 942750028 </p> <p>Відповідна планка до <span>2х системним замків</span> 54.787/789/795.</p>;;;Mottura;Ответ.планка;аксессуары для входных дверей;Замки Mottura;Ответная планка металл;Италия;Врезной;;;https://b2b.polyserv.com.ua/catalog/284;6,100;EUR;шт
Mottura Art. 94282 Ответная планка к замку 40.701/751;27480;Заказной;Оцинкованный;94282;Mottura Art. 94282 Відповідна планка до замка 40.701/751;;;Mottura;;аксессуары для входных дверей;Замки Mottura;Ответная планка металл;Италия;;;;https://b2b.polyserv.com.ua/catalog/3688;4,950;EUR;шт
Mottura Art. 91067DAU Нуклия;371;Заказной;Оцинкованный;91067DAU;;;;Mottura;;Замки входные;Замки Mottura;Механизм замка;Италия;;;;;74,000;EUR;шт
Mottura Art. 91067DAU54 Нуклия;4217;Заказной;Оцинкованный;91067DAU54;;;;Mottura;;Замки входные;Замки Mottura;Механизм замка;Италия;;;;;74,000;EUR;шт
Mottura Art. 91067DAU55 Нуклия + 2 кл;9984;Заказной;Оцинкованный;91067DAU55;;;;Mottura;;Замки входные;Замки Mottura;Механизм замка;Италия;;;;;83,550;EUR;шт
Mottura Art. 91067SAU Нуклия;376;Заказной;Оцинкованный;91067SAU;;;;Mottura;;Замки входные;Замки Mottura;Механизм замка;Италия;;;;;74,000;EUR;шт
Mottura Art. 91067SAU54 Нуклия;4216;Заказной;Оцинкованный;91067SAU54;;;;Mottura;;Замки входные;Замки Mottura;Механизм замка;Италия;;;;;74,000;EUR;шт
Mottura Art. 91067SAU55 Нуклия + 2 кл;6106;Заказной;Оцинкованный;91067SAU55;;;;Mottura;;Замки входные;Замки Mottura;Механизм замка;Италия;;;;;83,550;EUR;шт
Mottura Art. 91074/BDC55 Нуклия к замкам серии 52-54;36383;Заказной;Оцинкованный;91074/BDC55;;;;Mottura;;Запчасти Фурнитура;Замки Mottura;Механизм замка;Италия;;;;;93,400;EUR;шт
Mottura Art. 91074/BSC55 Нуклия к замкам серии 52-54;36382;Заказной;Оцинкованный;91074/BSC55;;;;Mottura;;Запчасти Фурнитура;Замки Mottura;Механизм замка;Италия;;;;;93,400;EUR;шт
Mottura Art. 92306 Ключ, изготовленный по карточке;4174;Заказной;Нержавеющая сталь;92306;;;;Mottura;;Запчасти Фурнитура;Замки Mottura;Ключ;Италия;;;;;36,050;EUR;шт
Mottura Art. 93140C000 Тяги;2536;в наличии;Хром полированный;93140C000;<p>Mottura Art. 93140C000</p> <p>Дані тяги служать приводом для девіатора.</p>;;;Mottura;Тяга-2шт;аксессуары для входных дверей;Замки Mottura;Тяги;Италия;Врезной;;;https://b2b.polyserv.com.ua/catalog/248;25,400;EUR;шт
Mottura Art. 93140V000 Тяги;415;Заказной;Черный;93140V000;;;;Mottura;;аксессуары для входных дверей;Замки Mottura;Тяги;Италия;;;;https://b2b.polyserv.com.ua/catalog/249;25,400;EUR;шт
Mottura Art. 93242 комплект тяг;20415;Заказной;Оцинкованный;93242;;;;Mottura;;аксессуары для входных дверей;Замки Mottura;Тяги;Италия;;;;https://b2b.polyserv.com.ua/catalog/8700;27,200;EUR;шт
Mottura Art. 93243 комплект тяг;33248;Заказной;Оцинкованный;93243;;;;Mottura;;Замки входные;Замки Mottura;Тяги;;;;;https://b2b.polyserv.com.ua/catalog/10968;25,200;EUR;шт
Mottura Art. 93248 тяга;20416;Заказной;Оцинкованный;93248;;;;Mottura;;аксессуары для входных дверей;Замки Mottura;Тяги;Италия;;;;https://b2b.polyserv.com.ua/catalog/8701;16,000;EUR;шт
Mottura Art. 96086/I D 28 распределитель тяг;4805;в наличии;Оцинкованный;96086IDC1;<p>Розподільник тяг Mottura 96086/I D 28 - додатковий замикаючий пристрій з одним або кількома ригелями. Привід девіатора здійснюється від замку, через тяги (металеві смуги або трубки). Девиатор потрібен для більшої захищеності двері від силового розтину. Дозволяє додатково зафіксувати замкову сторону дверей в нижній або верхній частинах (або обох відразу).</p>;;;Mottura;Распределитель тяг;аксессуары для входных дверей;Замки Mottura;Тяги;Италия;Врезной;;;https://b2b.polyserv.com.ua/catalog/316;21,000;EUR;шт
Mottura Art. 96086/I S 28 распределитель тяг;4806;в наличии;Оцинкованный;96086ISC1;<p><span>Розподільник тяг Mottura 96086/I S 28 - додатковий замикаючий пристрій з одним або кількома ригелями. Привід девіатора здійснюється від замку, через тяги (металеві смуги або трубки). Девиатор потрібен для більшої захищеності двері від силового розтину. Дозволяє додатково зафіксувати замкову сторону дверей в нижній або верхній частинах (або обох відразу).</span></p>;;;Mottura;Распределитель тяг;аксессуары для входных дверей;Замки Mottura;Тяги;Италия;Врезной;;;https://b2b.polyserv.com.ua/catalog/317;21,000;EUR;шт
Mottura Art. 9609700С1 Замок для неподв. створки 2-х створч. двери;6103;Заказной;Оцинкованный;9609700С1;"<p><strong>Замок (засувка) Mottura 9609700С1</strong> - це ""краб""-фіксатор для нерухомої стулки 2-х дверцят. Це надійне та комфортне рішення для замикання пасивної (допоміжної) стулки дверей у разі її частого використання. Відкриття та закриття здійснюється шляхом натискання з одночасним поворотом з торця стулки на пружний штифт. </p> <p> </p> <p style=""text-align: justify;""><strong>Поради щодо догляду.</strong> Щоб уникнути поломки або заклинювання дверного замка за ним необхідно правильно доглядати, адже в ньому може накопичуватися пил та бруд. Тому замки на дверях у квартири потрібно змащувати щонайменше один раз на рік, а у разі підвищеного навантаження до 4-х. Найбільш рекомендовано в цьому випадку використовувати засоби догляду за замками від виробника, які будуть спеціально призначені саме для даного типу замку.</p> <p> </p> <p style=""text-align: justify;""><strong >Замки для вхідних дверей Mottura</strong> - це надійні та якісні італійські замки, перевірені часом і позитивно зарекомендували себе серед професіоналів та споживачів.</p> <h2 class=""post_title""><a href=""http:// dom-market.com/articles/?slug=Mottura"" style=""font-size:20px;"">Фабрика Mottura</a></h2>";;;Mottura;;Замки входные;Замки Mottura;Механизм замка;Италия;;;;https://b2b.polyserv.com.ua/catalog/319;28,550;EUR;шт
Mottura Art. 96143V распределитель тяг (для бронированных дверей);12249;Заказной;Оцинкованный;96143V;;;;Mottura;;аксессуары для входных дверей;Замки Mottura;Тяги;Италия;;;;https://b2b.polyserv.com.ua/catalog/320;32,150;EUR;шт
Mottura Art. 96251/21 28 распределитель тяг (для бронированных дверей);26819;Заказной;Оцинкованный;96251/21 28;;;;Mottura;;аксессуары для входных дверей;Замки Mottura;Тяги;Италия;;;;https://b2b.polyserv.com.ua/catalog/10000;30,000;EUR;шт
Mottura Art. 96254D00C Дополнительный замок;5946;Заказной;Оцинкованный;96254D00C;;;;Mottura;;Замки входные;Замки Mottura;Механизм замка;Италия;;;;https://b2b.polyserv.com.ua/catalog/321;32,900;EUR;шт
Mottura Art. 96254I00D Замок дополнительный;55475;Заказной;Оцинкованный;96254I00D;;;;Mottura;;Замки входные;Замки Mottura;Механизм замка;Италия;;;;https://b2b.polyserv.com.ua/catalog/7138;34,400;EUR;шт
Mottura Art. 96254I00S Замок дополнительный;55476;Заказной;Оцинкованный;96254I00S;;;;Mottura;;Замки входные;Замки Mottura;Механизм замка;Италия;;;;https://b2b.polyserv.com.ua/catalog/7139;34,400;EUR;шт
Mottura Art. 96254S00C Дополнительный замок;6118;Заказной;Оцинкованный;96254S00C;Замок для вхідних дверей додатковий Mottura 96254S00C лівосторонній;;;Mottura;;Замки входные;Замки Mottura;Механизм замка;Италия;;;;https://b2b.polyserv.com.ua/catalog/322;33,900;EUR;шт
Mottura Art. 96265D Врезной распределитель;6143;Заказной;Оцинкованный;96265D;;;;Mottura;;аксессуары для входных дверей;Замки Mottura;Тяги;Италия;;;;https://b2b.polyserv.com.ua/catalog/323;16,750;EUR;шт
Mottura Art. 96265S Врезной распределитель;6144;Заказной;Оцинкованный;96265S;;;;Mottura;;аксессуары для входных дверей;Замки Mottura;Тяги;Италия;;;;https://b2b.polyserv.com.ua/catalog/324;16,750;EUR;шт
Mottura Art. 96298 Врезной распределитель тяг;49507;Заказной;Оцинкованный;96298;;;;Mottura;;аксессуары для входных дверей;Замки Mottura;Тяги;Италия;;;;https://b2b.polyserv.com.ua/catalog/7729;24,500;EUR;шт
Mottura Art. 96750 распределитель (для дополнительной створки);26820;Заказной;Оцинкованный;96750;;;;Mottura;;аксессуары для входных дверей;Замки Mottura;Тяги;Италия;;;;https://b2b.polyserv.com.ua/catalog/10001;46,150;EUR;шт
Mottura Art. 99151 ответка;11018;Заказной;Нержавеющая сталь;99151;;;;Mottura;;аксессуары для входных дверей;Замки Mottura;Тяги;Италия;;;;https://b2b.polyserv.com.ua/catalog/325;3,250;EUR;шт
Mottura Art. 99152C00С Проходной кронштейн для тяг d=18mm;3449;Заказной;Хром полированный;99152C00С;<p>Прохідний кронштейн Mottura Art. 99152C00С для тяг d=18mm</p>;;;Mottura;кронштейн;аксессуары для входных дверей;Замки Mottura;Тяги;Италия;Врезной;;;https://b2b.polyserv.com.ua/catalog/326;2,600;EUR;шт
Mottura Art. 99153 Скоба для тяг хром;18538;Заказной;Хром полированный;99153;"<p><strong>Скоба для тяг Mottura Art. 99153 хром</strong></p>

<p>В нашому інтернет-магазині представлені фурнітура та аксесуари від провідних європейських та світових виробників. Кожна модель відповідає сучасним стандартам якості, екологічності та безпеки. Широкий асортимент дозволяє підібрати аксесуари та фурнітуру в потрібному для вас дизайні та кольоровому варіанті.</p>

<p>Також існує можливість додатково зробити замовлення комплектуючих та окремих компонентів для фурнітури або аксесуарів. Серед яких скоба для тяг Mottura.</p>

<p>Характеристики:</p>

<ul> 

<li>Тип – аксесуари для замків;</li> 

<li>Колір – полірований хром.</li> 

</ul>";;;Mottura;;аксессуары для входных дверей;Замки Mottura;Тяги;Италия;;;;https://b2b.polyserv.com.ua/catalog/8267;4,800;EUR;шт
Mottura Art. 99165 Напольная втулка с пружинным механизмом для тяг 10 мм латунь;36089;Заказной;Латунь полированная;99165;;;;Mottura;Напольная втулка с пружинным механизмом для тяг 10 мм латунь;Запчасти Фурнитура;Замки Mottura;Тяги;Италия;Напольный;;;https://b2b.polyserv.com.ua/catalog/9669;3,800;EUR;шт
Mottura Art. 99166C1 Ответка пружинная напольная, защита от загрязнения;4602;Заказной;Латунь полированная;99166C1;Mottura Art. 99166C1 Ответка пружинна для підлоги;;;Mottura;Ответка пружинная напольная, защита от загрязнения;аксессуары для входных дверей;Замки Mottura;Тяги;Италия;Напольный;;;https://b2b.polyserv.com.ua/catalog/327;4,100;EUR;шт
Mottura Art. 99236/ВD скоба правая;4782;Заказной;Хром полированный;99236/В;Mottura Art. 99236/ВD скоба права;;;Mottura;;аксессуары для входных дверей;Замки Mottura;Скоба;Италия;;;;https://b2b.polyserv.com.ua/catalog/328;4,650;EUR;шт
Mottura Art. 99236/ВS скоба левая;4783;Заказной;Хром полированный;99236/В left;"<p><strong>Скоба Mottura Art. 99236/ВS ліва</strong></p>

<p>В нашому інтернет-магазині представлені фурнітура та аксесуари від провідних європейських та світових виробників. Кожна модель відповідає сучасним стандартам якості, екологічності та безпеки. Широкий асортимент дозволяє підібрати аксесуари та фурнітуру в потрібному для вас дизайні та кольоровому варіанті.</p>

<p>Також існує можливість додатково зробити замовлення комплектуючих та окремих компонентів для фурнітури або аксесуарів. Серед яких скоба Mottura ліва для замку на вхідні двері.</p>";;;Mottura;;аксессуары для входных дверей;Замки Mottura;Скоба;Италия;;;;https://b2b.polyserv.com.ua/catalog/329;4,550;EUR;шт
Mottura Art. 20500VD Замок накладной 5-риг под сувальдный ключ 5 шт 6 см бронза;62714;в наличии;Бронза;20500VD 5 chiave 60mm;"Дверний замок Mottura 20.500 (20500).

Mottura - італійська компанія, заснована в 1963 році, є світовим лідером

у виробництві замків для вхідних дверей, а також циліндрів та інших систем безпеки.

Основна причина популярності продукції компанії полягає у високій надійності виробів,

які відповідають всім стандартам якості та критеріям безпеки.

Накладний замок Mottura 20.500 (20500) однонаправленного замикання.

Замикання зсередини ключем. Корпус замку виготовлений з оцинкованої фарбованої

сталі. Ригелі із нікельованої сталі.

Замок комплектується п'ятьма сувальдними ключами. Матеріал ключа - латунь.

Довжина ключа - 60 мм.

BackSet - 63 мм.

Діаметр ригелів - 18 мм.

Вихід ригелів - 40 мм.

Кількість обертів: 4 півоберта.

Розміри корпусу 132х146х30 мм.

Клас секретності замка – четвертий.

Країна виробництва – Італія.

У комплекті 5 сувальдних ключів, накладка на ключовий отвір та відповідна частина.";;;Mottura;Замок,ответ.планка,декор.накладка,5 кл.саморезы;Замки входные;Замки Mottura;Механизм замка;Италия;Накладной;Сувальдный;;;115,600;EUR;шт
Mottura Art. 20500VD Замок накладной 5-риг под сувальдный ключ бронза;36898;Заказной;Бронза;20500VD;"Дверний замок Mottura 20.500 (20500).

Mottura - італійська компанія, заснована в 1963 році, є світовим лідером

у виробництві замків для вхідних дверей, а також циліндрів та інших систем безпеки.

Основна причина популярності продукції компанії полягає у високій надійності виробів,

які відповідають всім стандартам якості та критеріям безпеки.

Накладний замок Mottura 20.500 (20500) однонаправленного замикання.

Замикання зсередини ключем. Корпус замку виготовлений з оцинкованої фарбованої

сталі. Ригелі із нікельованої сталі.

Замок комплектується п'ятьма сувальдними ключами. Матеріал ключа - латунь.

BackSet - 63 мм.

Діаметр ригелів - 18 мм.

Вихід ригелів - 40 мм.

Кількість обертів: 4 півоберта.

Розміри корпусу 132х146х30 мм.

Клас секретності замка – четвертий.";;;Mottura;;Замки входные;Замки Mottura;Механизм замка;Италия;;;;https://b2b.polyserv.com.ua/catalog/3121;105,300;EUR;шт
Mottura Art. 20500VS Замок накладной 5-риг под сувальдный ключ 5 шт 6 см бронза;62715;в наличии;Бронза;20500VS 5 chiave 60mm;"Дверний замок Mottura 20.500 (20500).

Mottura - італійська компанія, заснована в 1963 році, є світовим лідером

у виробництві замків для вхідних дверей, а також циліндрів та інших систем безпеки.

Основна причина популярності продукції компанії полягає у високій надійності виробів,

які відповідають всім стандартам якості та критеріям безпеки.

Накладний замок Mottura 20.500 (20500) однонаправленного замикання.

Замикання зсередини ключем. Корпус замку виготовлений з оцинкованої фарбованої

сталі. Ригелі із нікельованої сталі.

Замок комплектується п'ятьма сувальдними ключами. Матеріал ключа - латунь.

Довжина ключа - 60 мм.

BackSet - 63 мм.

Діаметр ригелів - 18 мм.

Вихід ригелів - 40 мм.

Кількість обертів: 4 півоберта.

Розміри корпусу 132х146х30 мм.

Клас секретності замка – четвертий.

Країна виробництва – Італія.

У комплекті 5 сувальдних ключів, накладка на ключовий отвір та відповідна частина.";;;Mottura;Замок,ответ.планка,декор.накладка,5 кл.саморезы;Замки входные;Замки Mottura;Механизм замка;Италия;Накладной;Сувальдный;;;115,600;EUR;шт
Mottura Art. 20500VS Замок накладной 5-риг под сувальдный ключ бронза;36899;Заказной;Бронза;20500VS;"Дверний замок Mottura 20.500 (20500).

Mottura - італійська компанія, заснована в 1963 році, є світовим лідером

у виробництві замків для вхідних дверей, а також циліндрів та інших систем безпеки.

Основна причина популярності продукції компанії полягає у високій надійності виробів,

які відповідають всім стандартам якості та критеріям безпеки.

Накладний замок Mottura 20.500 (20500) однонаправленного замикання.

Замикання зсередини ключем. Корпус замку виготовлений з оцинкованої фарбованої

сталі. Ригелі із нікельованої сталі.

Замок комплектується п'ятьма сувальдними ключами. Матеріал ключа - латунь.

BackSet - 63 мм.

Діаметр ригелів - 18 мм.

Вихід ригелів - 40 мм.

Кількість обертів: 4 півоберта.

Розміри корпусу 132х146х30 мм.

Клас секретності замка – четвертий.";;;Mottura;;Замки входные;Замки Mottura;Механизм замка;Италия;;;;https://b2b.polyserv.com.ua/catalog/3122;105,300;EUR;шт
Mottura Art. 20501VDDM CT5 Замок накладной 3-риг под сувальдный ключ;10063;Заказной;Коричневый;20501D CT5;"<div>Mottura - італійська компанія, заснована в 1963 році, є світовим лідером у виробництві замків для вхідних дверей, а також циліндрів та інших систем безпеки. Основна причина популярності продукції компанії полягає у високій надійності виробів, що відповідають всім стандартам якості і критеріям безпеки.</div> <ul> <li>Виробник: MOTTURA</li> <li>Країна виробництва: Італія</li> <li>Тип секретності: Сувальдний</li> <li>Спосіб кріплення: Накладної(Правый)</li> <li>BackSet: 63 мм</li> <li>Можливість підключення тяг: Ні</li> <li>Засувка-нічник: Ні</li> <li>Вид язичка: Без язичка</li> <li>Наявність перекодування: Без перекодування</li> </ul> <table style=""width: 576px;"" border=""1""> <tbody> <tr> <td valign=""top"">Рекомендований для установки у вхідні двері<br></td> <td valign=""top"">Та<br></td> </tr> <tr> <td valign=""top"">Рекомендований для установки на міжкімнатні двері</td> <td valign=""top"">Та<br></td> </tr> <tr> <td valign=""top"">Тип кріплення врізн. замку<br></td> <td valign=""top"">Накладної<br></td> </tr> <tr> <td>Тип механізму секретності</td> <td>Сувальдний <br></td> </tr> <tr> <td valign=""top"">Спосіб замикання зсередини<br></td> <td valign=""top"">Ключем<br></td> </tr> <tr> <td valign=""top"">Клас секретності замку</td> <td valign=""top"">4<br></td> </tr> <tr> <td valign=""top"">Можливість заміни хутро.секр.<br></td> <td valign=""top"">Немає<br></td> </tr> <tr> <td valign=""top"">Можливість перекодування<br></td> <td valign=""top"">Немає<br></td> </tr> <tr> <td valign=""top"">Кількість ключів<br></td> <td valign=""top"">5<br></td> </tr> <tr> <td valign=""top"">Тип ключа</td> <td valign=""top"">Сувальдний (метелик)<br></td> </tr> <tr> <td>Видалення ключового отвору (Backset)</td> <td>63,5 мм<br></td> </tr> <tr> <td>Тип ригелів<br></td> <td>Циліндричні</td> </tr> <tr> <td>Кількість ригелів<br></td> <td>3<br></td> </tr> <tr> <td>Виліт ригелів</td> <td>40 мм<br></td> </tr> <tr> <td>Діаметр ригеля</td> <td>18 мм<br></td> </tr> <tr> <td>Додатковий механізм секретності</td> <td>Немає</td> </tr> <tr> <td>Засувка</td> <td>Немає</td> </tr> <tr> <td>Комплектація ручками</td> <td>Не комплектується<br></td> </tr> <tr> <td valign=""top"">Кількість точок замикання<br></td> <td valign=""top"">1<br></td> </tr> <tr> <td valign=""top"">Додаткове замикання зсередини<br></td> <td valign=""top"">Немає<br></td> </tr> <tr> <td valign=""top"">Покриття корпусу<br></td> <td valign=""top"">Порошкове<br></td> </tr> <tr> <td valign=""top"">Колір корпусу<br></td> <td valign=""top"">Коричневий</td> </tr> </tbody> </table>";;;Mottura;;Замки входные;Замки Mottura;Механизм замка;Италия;;;;https://b2b.polyserv.com.ua/catalog/337;113,150;EUR;шт
